"","GEOID","NAME.x","TotalPopE","TotalPopM","WhitePopE","WhitePopM","Pct_White","Pct_White_moe","sum_under200","pct_under200","U200_moe_sum","U200_moe_prop","PercLEPE","PercLEPM"
"1","48201551400","Census Tract 5514, Harris County, Texas",5130,536,1777,319,34.6393762183236,5.05654464714861,1064,20.7771919546963,682.969252602194,0.131561229203876,15.7,5.7
"2","48201552500","Census Tract 5525, Harris County, Texas",11478,808,3654,374,31.8348144276006,2.36537693439882,5089,44.3369925074055,1622.85643234391,0.137900492690485,11.5,4.7
"3","48201210700","Census Tract 2107, Harris County, Texas",2657,229,85,47,3.19909672563041,1.74729166748904,1543,58.2044511505092,511.346262331114,0.186396573174819,15.6,5.9
"4","48201211000","Census Tract 2110, Harris County, Texas",1941,332,16,17,0.824317362184441,0.864413619492049,1060,54.7520661157025,453.077256105402,0.21436645746266,11.2,6.6
"5","48201211900","Census Tract 2119, Harris County, Texas",5478,772,64,39,1.16830960204454,0.692638507203432,3492,64.7866419294991,1053.47472679699,0.177649517409548,33.9,8.2
"6","48201220500","Census Tract 2205, Harris County, Texas",3606,388,421,173,11.6749861342207,4.63017427567224,2699,74.8474764281753,686.445919209955,0.172487412080221,30.1,6.8
"7","48201221300","Census Tract 2213, Harris County, Texas",9920,1041,358,225,3.60887096774194,2.23630472100401,5179,52.2076612903226,1798.37649005985,0.172811356067735,48,9.5
"8","48201221400","Census Tract 2214, Harris County, Texas",5977,740,311,163,5.20327923707546,2.64994037021137,3794,63.4766605320395,1239.05730295253,0.191830095047297,57.9,7.9
"9","48201221500","Census Tract 2215, Harris County, Texas",8350,913,300,162,3.59281437125748,1.89993131929495,6098,74.3024247593518,1666.61903265263,0.185367554529666,52,8.7
"10","48201221800","Census Tract 2218, Harris County, Texas",4000,511,153,86,3.825,2.09373524725213,2932,73.3,904.001659290513,0.205688107190079,67.4,8.3
"11","48201221900","Census Tract 2219, Harris County, Texas",4790,785,169,102,3.52818371607516,2.04943227926822,2728,56.9519832985386,1211.69137984885,0.235114380528609,56.6,9
"12","48201222600","Census Tract 2226, Harris County, Texas",5109,485,155,89,3.03386181248777,1.71805113538993,4162,81.4640829908005,914.633259836969,0.161458904313401,43.9,6.6
"13","48201222700","Census Tract 2227, Harris County, Texas",5773,458,327,164,5.66429932444137,2.80504300339243,4010,69.4612852936082,951.756271321603,0.155380667580234,3.7,2.6
"14","48201230700","Census Tract 2307, Harris County, Texas",2873,362,54,38,1.8795683954055,1.30128416395543,1791,62.5130890052356,587.1950272269,0.189485069492856,4.8,3.7
"15","48201252900","Census Tract 2529, Harris County, Texas",8103,734,4303,443,53.1037887202271,2.59806390483085,2586,32.0724296167679,1078.06771586946,0.130496633365717,1.4,1.6
"16","48201230900","Census Tract 2309, Harris County, Texas",4227,670,87,83,2.05819730305181,1.93627702131367,2816,66.6193517861367,998.53492678023,0.211313254819732,7.5,4.3
"17","48201231200","Census Tract 2312, Harris County, Texas",6998,978,199,163,2.8436696198914,2.29508303016974,3878,55.4158330951701,1638.82000231874,0.221007451202594,11.7,8.2
"18","48201241000","Census Tract 2410, Harris County, Texas",8901,635,3145,566,35.3331086394787,5.8378931373737,2736,30.793472144063,1117.13786078532,0.123828760018836,4.6,3.5
"19","48201253900","Census Tract 2539, Harris County, Texas",4218,355,2082,324,49.3598862019915,6.46106197696371,1662,39.402560455192,601.822232889414,0.13877211708682,3.8,2.6
"20","48201254000","Census Tract 2540, Harris County, Texas",3967,401,1794,403,45.2230904965969,9.07217626073858,1200,30.2495588606,601.563795453151,0.148527150715955,9.6,5.3
"21","48201254300","Census Tract 2543, Harris County, Texas",5221,440,1191,208,22.8117218923578,3.48936955108513,2089,40.2194840200231,739.326044448591,0.138166259418268,6.1,3.4
"22","48201310600","Census Tract 3106, Harris County, Texas",5874,540,490,180,8.3418454204971,2.96684330833442,2888,49.2412617220801,876.551766868335,0.142412222361631,21.3,6.6
"23","48201312000","Census Tract 3120, Harris County, Texas",5287,886,1731,390,32.7406846983166,4.93051553207053,239,16.3810829335161,239.960413401878,0.162671270185969,0,6.6
"24","48201211100","Census Tract 2111, Harris County, Texas",5953,1040,122,111,2.04938686376617,1.8299096107996,3985,66.9410381320343,1458.46734622343,0.215283289634552,15,7.4
"25","48201313500","Census Tract 3135, Harris County, Texas",2862,377,71,63,2.48078266946191,2.17686668404612,1831,63.9762403913347,570.050874922581,0.180472576910417,6.7,5.6
"26","48201313700","Census Tract 3137, Harris County, Texas",2265,391,32,30,1.41280353200883,1.30185548158041,1091,48.167770419426,554.092952490825,0.230067643351547,4.2,4.4
"27","48201323000","Census Tract 3230, Harris County, Texas",7422,709,764,295,10.2937213689033,3.85111283024775,5089,69.1722169362512,1408.06889036013,0.179267145298964,29.7,8.4
"28","48201323300","Census Tract 3233, Harris County, Texas",3807,355,409,134,10.7433674809561,3.37425409970247,1802,49.5463293923563,602.627579853428,0.158603049070241,22.3,8.1
"29","48201331800","Census Tract 3318, Harris County, Texas",4208,576,125,155,2.97053231939163,3.6609485344199,2794,66.3973384030418,938.635179396127,0.203704060467997,0,3.3
"30","48201332100","Census Tract 3321, Harris County, Texas",3424,448,0,13,0,0.379672897196262,2463,72.8267297457126,772.540613819105,0.207455590541378,21.5,8
"31","48201333000","Census Tract 3330, Harris County, Texas",3425,337,309,81,9.02189781021898,2.19203955778048,1245,36.4995602462621,483.378733499934,0.137074936513042,17.6,6
"32","48201333700","Census Tract 3337, Harris County, Texas",3395,296,208,74,6.12665684830633,2.11320967079469,1930,56.9657615112161,562.36909587921,0.158138542855339,16.1,7.6
"33","48201521900","Census Tract 5219, Harris County, Texas",6705,580,2987,458,44.5488441461596,5.63991272290073,1676,25.4286147777272,958.686601554439,0.143948550107623,8.8,5.7
"34","48201533600","Census Tract 5336, Harris County, Texas",5468,442,129,62,2.35918068763716,1.11771798316384,3336,61.0095098756401,830.97412715439,0.143745938385883,36.4,6.8
"35","48201542500","Census Tract 5425, Harris County, Texas",3039,250,2310,223,76.0118460019743,3.83991760315361,613,20.2443857331572,365.130113795069,0.119448471993482,1.1,1.2
"36","48201341800","Census Tract 3418, Harris County, Texas",2061,228,1374,210,66.6666666666667,7.03056601132652,546,26.962962962963,305.594502568354,0.148221930167586,0,5
"37","48201340100","Census Tract 3401, Harris County, Texas",6677,628,1764,509,26.4190504717688,7.20684324458408,2165,32.4247416504418,964.439215295604,0.141185812020591,0.5,1.1
"38","48201340500","Census Tract 3405, Harris County, Texas",6861,613,3674,646,53.5490453286693,8.10938588149934,2784,41.7141144740785,1103.75178369052,0.161217102704229,10.7,5.4
"39","48201342500","Census Tract 3425, Harris County, Texas",5641,536,4202,470,74.4903385924481,4.3957006565495,1234,22.3550724637681,677.345554351691,0.121018458056438,0,1.8
"40","48201342700","Census Tract 3427, Harris County, Texas",4863,439,3656,405,75.1799300843101,4.8268775798044,945,19.4324491054904,534.550278271371,0.108513103276428,0.2,0.5
"41","48201343000","Census Tract 3430, Harris County, Texas",7070,638,3772,608,53.3521923620934,7.12569112245045,1956,27.6661951909477,995.192443701217,0.13853099918111,2.7,3.7
"42","48201411100","Census Tract 4111, Harris County, Texas",3872,383,2487,295,64.2303719008264,4.20486402149226,280,7.23140495867769,411.679486979859,0.106081296091121,1.7,2.7
"43","48201412600","Census Tract 4126, Harris County, Texas",3941,262,2867,303,72.748033494037,5.97674219965147,342,8.70672097759674,313.453345810824,0.079586512104051,0,3.1
"44","48201420300","Census Tract 4203, Harris County, Texas",3794,285,2373,218,62.5461254612546,3.30768494762584,474,12.4934106483922,346.705927264014,0.0908995060369309,0.7,1.1
"45","48201421500","Census Tract 4215, Harris County, Texas",7875,772,527,213,6.69206349206349,2.62399608897158,4509,58.030888030888,1263.43064708752,0.152151032644967,29.2,6.4
"46","48201531500","Census Tract 5315, Harris County, Texas",3014,358,1173,295,38.9183808891838,8.6272243980835,796,26.480372588157,501.006985979238,0.163675070905183,6.3,6.1
"47","48201531700","Census Tract 5317, Harris County, Texas",3425,140,2596,239,75.7956204379562,6.25259730871691,259,7.61540723316672,193.277003288027,0.0567478122913707,1,1.6
"48","48201312300","Census Tract 3123, Harris County, Texas",1894,253,206,71,10.8764519535375,3.4556852795679,1008,53.220696937698,340.796126738553,0.165294821713724,5.9,3.9
"49","48201312800","Census Tract 3128, Harris County, Texas",2514,301,147,64,5.8472553699284,2.44758799557465,1371,89.1997397527651,363.31253763117,0.204926803185822,2.4,3
"50","48201312900","Census Tract 3129, Harris County, Texas",4022,554,396,203,9.84584783689707,4.86162315833116,1261,37.2525849335303,522.213557847745,0.149040189922347,0,2.4
"51","48201350200","Census Tract 3502, Harris County, Texas",8691,621,1828,293,21.0332527902428,3.01778039636322,2104,24.2089517892072,1005.76438592744,0.114424690626621,4,3.5
"52","48201340900","Census Tract 3409, Harris County, Texas",5036,495,1716,278,34.0746624305004,4.38811475467465,1744,34.7202866812662,716.37559980781,0.138521949111899,6.6,3.7
"53","48201342100","Census Tract 3421, Harris County, Texas",4212,286,1645,210,39.0550807217474,4.22199499854832,1258,29.9452511306832,526.709597406389,0.123685089293373,8.1,4.2
"54","48201350500","Census Tract 3505, Harris County, Texas",7912,761,782,284,9.88372093023256,3.46131041752013,3721,47.5770361846311,1290.03914669284,0.158333753502744,10.1,4.5
"55","48201410500","Census Tract 4105, Harris County, Texas",4630,525,3263,322,70.475161987041,10.5937269071259,818,17.6673866090713,638.692414233957,0.136484117441265,1.5,1.7
"56","48201411700","Census Tract 4117, Harris County, Texas",3208,348,1592,225,49.6259351620948,4.4957336638817,333,10.3802992518703,383.216648907638,0.118924652194835,1,1.4
"57","48201430800","Census Tract 4308, Harris County, Texas",5633,391,3519,326,62.4711521391798,3.8327368518074,517,9.1927453769559,469.348484603924,0.0832107388107864,6.1,3
"58","48201431700","Census Tract 4317, Harris County, Texas",4596,420,3792,335,82.5065274151436,10.4869796825636,484,10.6256860592755,503.999007935532,0.110225146451509,3.3,5.1
"59","48201432500","Census Tract 4325, Harris County, Texas",5501,748,1286,368,23.3775677149609,5.88620445343107,3637,66.3443998540679,1114.43932091433,0.182143181411007,22.6,6.5
"60","48201450200","Census Tract 4502, Harris County, Texas",5244,297,4021,392,76.6781083142639,6.08434507644657,468,8.92448512585812,392.947833687883,0.0747621781475228,6.5,4.7
"61","48201451800","Census Tract 4518, Harris County, Texas",5792,507,848,262,14.6408839779006,4.33813584042314,2151,37.1374309392265,817.844117176372,0.137409365846721,12.1,4.8
"62","48201452600","Census Tract 4526, Harris County, Texas",8907,1012,631,314,7.0843157067475,3.43219784926647,5346,60.02020882452,1676.52050390086,0.175437278288328,20,7.4
"63","48201233600","Census Tract 2336, Harris County, Texas",2095,322,61,47,2.91169451073986,2.19834699734945,1373,65.5369928400955,581.333811161883,0.258557806985103,6.8,5.7
"64","48201240400","Census Tract 2404, Harris County, Texas",8110,662,1282,313,15.8076448828607,3.63734011288536,3557,43.8594327990136,1542.3209782662,0.186774919708922,15.3,7.4
"65","48201252700","Census Tract 2527, Harris County, Texas",4157,376,2521,367,60.6446956940101,6.91762561446392,1612,39.0031454149528,622.810565099854,0.146568505774813,1.5,1.6
"66","48201252800","Census Tract 2528, Harris County, Texas",6917,763,1574,406,22.7555298539829,5.30579727258506,2918,42.1859187509036,1191.5536076904,0.165860209434826,7,4.9
"67","48201253100","Census Tract 2531, Harris County, Texas",11333,951,3398,484,29.9832348010236,3.45088964980128,1043,9.26863947391807,1030.82927781471,0.0912860820333467,0.9,1
"68","48201310100","Census Tract 3101, Harris County, Texas",5327,497,966,254,18.1340341655716,4.4579066473956,2696,50.6100994931481,865.466348277043,0.155454931465799,8.8,4.8
"69","48201411400","Census Tract 4114, Harris County, Texas",2711,364,2469,334,91.0734046477315,1.50241943958816,172,6.34452231648838,375.373147681077,0.138200688620188,2.1,2.3
"70","48201420500","Census Tract 4205, Harris County, Texas",3925,538,336,188,8.56050955414013,4.64385899158406,2921,77.3979862215156,854.09718416583,0.201117059583844,35.3,8.1
"71","48201220400","Census Tract 2204, Harris County, Texas",4190,477,178,80,4.24821002386635,1.84704133922656,2205,52.6252983293556,777.264433767556,0.175564145424248,48.3,8.5
"72","48201332900","Census Tract 3329, Harris County, Texas",5220,617,312,137,5.97701149425287,2.52764701744699,3183,62.9673590504451,963.931014129123,0.175590426477069,28.7,7.3
"73","48201410300","Census Tract 4103, Harris County, Texas",2874,250,1906,232,66.3187195546277,5.64655253144614,546,19.5558739255014,313.746713130194,0.111087727265835,1.6,1.7
"74","48201430400","Census Tract 4304, Harris County, Texas",3398,49,2508,221,73.8081224249559,6.41614748174559,216,6.35668040023543,106.878435617294,0.0314399761138495,0.5,0.7
"75","48201433400","Census Tract 4334, Harris County, Texas",4785,552,526,201,10.9926854754441,4.00463908228125,2651,55.4022988505747,810.436302247129,0.156848545465287,33.9,7.7
"76","48201452300","Census Tract 4523, Harris County, Texas",2405,299,292,136,12.1413721413721,5.44970076842688,1464,60.8731808731809,571.853127997041,0.225411409061593,31.9,8.3
"77","48201241300","Census Tract 2413, Harris County, Texas",11354,648,5046,514,44.4424872291703,3.74974094857051,1539,13.5546943808349,876.065066076716,0.0767703715536773,4.2,2.6
